,회사코드,회사명,종목코드,사업연도,금융부채,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
29,101044,에이프로젠바이오로직스,3060,2021,,,,,,17440224078.0,7991425262.0,261146824547.0,,,9448798816.0,353474277990.0,-21114745989.0,199287883500.0,597180878459.0,614621102537.0,,,
30,101044,에이프로젠바이오로직스,3060,2022,,,,,,173729691936.0,12623634009.0,435495222101.0,,,161106057927.0,240608129118.0,-12887679713.0,292877344000.0,502373659283.0,676103351219.0,,,
31,101044,에이프로젠바이오로직스,3060,2023,,,,,,220705187059.0,62766818586.0,504539378759.0,,,157938368473.0,84857286038.0,-133309950001.0,332877344500.0,368691477738.0,589396664797.0,,,
32,101220,KG케미칼,1390,2015,,,,,,678433511024.0,192147594329.0,559920068230.0,,,486285916695.0,582532582752.0,160867858166.0,,464019139958.0,1142452650982.0,,,
33,101220,KG케미칼,1390,2016,,,,,,753316753157.0,212729029767.0,614462932030.0,,,540587723390.0,649065901770.0,170061110371.0,,510212080643.0,1263528833800.0,,,
34,101220,KG케미칼,1390,2017,,,,,,902897457802.0,119254897156.0,788661525474.0,,,783642560646.0,692011616665.0,171699728224.0,64175290000.0,577775684337.0,1480673142139.0,,,
35,101220,KG케미칼,1390,2018,,,,,,904440514432.0,181291176718.0,821114255801.0,,,723149337714.0,687484820576.0,169814065730.0,64585875000.0,604158561945.0,1508599076377.0,,,
36,101220,KG케미칼,1390,2019,,,,,,2799967271529.0,1212209342690.0,2709870342369.0,,,1587757928839.0,1441671875099.0,260918354759.0,67374405000.0,1351574945939.0,4151542217468.0,,,
37,101220,KG케미칼,1390,2020,,,,,,2815857533956.0,1381657568205.0,3001694640221.0,,,1434199965751.0,1321843704838.0,304331416754.0,67374405000.0,1507680811103.0,4323538345059.0,,,
38,101220,KG케미칼,1390,2021,,,,,,3097379164414.0,1281524607843.0,2999360234803.0,,,1815854556571.0,1885532045405.0,374610108405.0,71638725000.0,1787513115794.0,4884892280208.0,,,
39,101220,KG케미칼,1390,2022,,,,,,3741042484468.0,1437556725575.0,4420884384887.0,,,2303485758893.0,2561024589897.0,680118149082.0,71638725000.0,3240866490316.0,6981908974784.0,,,
40,101220,KG케미칼,1390,2023,,,232406295692.0,,,4181830349010.0,1749964482624.0,4508620406540.0,,,2378907515379.0,3213520186659.0,776161319375.0,71128350000.0,3636315422315.0,7818145771325.0,,,
41,101257,경남기업,800,2015,,,,,,1704705619849.0,353308508517.0,378766572891.0,,,1351397111332.0,375411391078.0,-1227733033013.0,,-950527655880.0,754177963969.0,,,
42,101336,경남에너지,8020,2015,,,,,,265318712333.0,96325936321.0,383814656847.0,,,168992776012.0,204778276093.0,295174796986.0,,323274220607.0,588592932940.0,,,
43,101433,경농,2100,2015,,,,,,141674204931.0,27290662631.0,155157713861.0,,,114383542300.0,161184139030.0,116351966459.0,,174667647960.0,316341852891.0,,,
44,101433,경농,2100,2016,,,,,,136946019056.0,24597948681.0,164853929230.0,,,112348070375.0,156061221548.0,120996133478.0,,183969131722.0,320915150778.0,,,
45,101433,경농,2100,2017,,,,,,143720911811.0,22654344949.0,172436433234.0,,,121066566862.0,163437464321.0,126416846405.0,10845875000.0,192152985744.0,335873897555.0,,,
46,101433,경농,2100,2018,,,,,,155806650010.0,27505349788.0,187278442428.0,,,128301300222.0,169982098707.0,133227463774.0,10845875000.0,201453891125.0,357260541135.0,,,
47,101433,경농,2100,2019,,,,,,168988818766.0,46380814049.0,185853998298.0,,,122608004717.0,185020092692.0,133434195117.0,10845875000.0,201885272224.0,370874090990.0,,,
48,101433,경농,2100,2020,,,,,,160153422896.0,26114103616.0,179028377959.0,,,134039319280.0,192497278391.0,142116197164.0,10845875000.0,211372233454.0,371525656350.0,,,
49,101433,경농,2100,2021,,,,,,151976385644.0,28921709029.0,182238542501.0,,,123054676615.0,206547236965.0,150344637190.0,10845875000.0,236809393822.0,388785779466.0,,,
50,101433,경농,2100,2022,,,,,,188148524944.0,31216437663.0,187867021298.0,,,156932087281.0,260765667954.0,170935523982.0,10845875000.0,260484164308.0,448632689252.0,,,
51,101433,경농,2100,2023,,,,,,180131701890.0,21808502460.0,188652615651.0,,,158323199430.0,259940118322.0,179130500410.0,10845875000.0,268461032083.0,448592733973.0,,,
52,101488,경동나비엔,9450,2015,,,,,,196007759547.0,18882044843.0,243829424772.0,,,177125714704.0,158254943679.0,,,206076608904.0,402084368451.0,,,
