,회사코드,회사명,종목코드,사업연도,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
42,101336,경남에너지,8020,2015,22511018977.0,22511018977.0,724775690259.0,30044741329.0,,,,19767569699.0,,,,,
43,101433,경농,2100,2015,6980391660.0,6980391660.0,196418709909.0,8739553884.0,,,,12111542849.0,,,,,
44,101433,경농,2100,2016,6365804951.0,6365804951.0,203984939105.0,7689345046.0,,,,9168483764.0,,,,,
45,101433,경농,2100,2017,10079442107.0,10079442107.0,206534381962.0,12930519139.0,,,,8447803138.0,,,,,
46,101433,경농,2100,2018,4878426115.0,4878426115.0,212654617357.0,11114166457.0,,,,14769793146.0,,,,,
47,101433,경농,2100,2019,,,227510941149.0,7388040083.0,,,,8690743324.0,,,,,
48,101433,경농,2100,2020,,,248295523801.0,17602153494.0,,,,14281976627.0,,,,,
49,101433,경농,2100,2021,,,270269449649.0,17475799401.0,,,,16758990471.0,,,,,
50,101433,경농,2100,2022,,,361604573086.0,37927298330.0,,,,40975101750.0,,,,,
51,101433,경농,2100,2023,15126191336.0,15126191336.0,347407788945.0,23483559803.0,,,,25209888376.0,,,,,
52,101488,경동나비엔,9450,2015,16751999580.0,16751999580.0,512031119598.0,22283417093.0,,,,24222980512.0,,,,,
53,101488,경동나비엔,9450,2016,37469924107.0,37469924107.0,583252904474.0,48861000691.0,,,,45831936768.0,,,,,
54,101488,경동나비엔,9450,2017,27019123803.0,27019123803.0,684660957517.0,36553519366.0,,,,47757034163.0,,,,,
55,101488,경동나비엔,9450,2018,24748537578.0,24748537578.0,726741615298.0,34398185918.0,,,,40802216776.0,,,,,
56,101488,경동나비엔,9450,2019,27852089787.0,27852089787.0,774290704230.0,48373382599.0,,,,44824995058.0,,,,,
57,101488,경동나비엔,9450,2020,41637325058.0,41637325058.0,873409018805.0,52374742315.0,,,,67099322639.0,,,,,
58,101488,경동나비엔,9450,2021,80657672817.0,80657672817.0,1102947009588.0,102050954212.0,,,,64295519089.0,,,,,
59,101488,경동나비엔,9450,2022,53582342499.0,53582342499.0,1160860788602.0,72724310765.0,,,,59770841498.0,,,,,
60,101488,경동나비엔,9450,2023,83148711338.0,83148711338.0,1204312871752.0,107291579864.0,,,,105910537855.0,,,,74117136827.0,
61,101549,경동제약,11040,2015,13277248992.0,13277248992.0,151893327055.0,20852429408.0,,,,26019496714.0,,,,,
62,101549,경동제약,11040,2016,16949412043.0,16949412043.0,158599150940.0,24981231843.0,,,,26275459922.0,,,,,
63,101549,경동제약,11040,2017,20226268009.0,20226268009.0,177772468130.0,30234638640.0,,,,30909023936.0,,,,,
64,101549,경동제약,11040,2018,5318405675.0,5318405675.0,179316262050.0,20233342658.0,,,,20378129190.0,,,,,
65,101549,경동제약,11040,2019,22830839294.0,22830839294.0,176500194696.0,34944499018.0,,,,24552346121.0,,,,,
66,101549,경동제약,11040,2020,12872620256.0,12872620256.0,173827660003.0,19339347511.0,,,,18950289227.0,,,,,
67,101549,경동제약,11040,2021,12626858093.0,12626858093.0,177610830014.0,18432358891.0,,,,15755480324.0,,,,,
68,101549,경동제약,11040,2022,12112771755.0,12112771755.0,182718157223.0,17941194955.0,,,,8312028513.0,,,,,
