,bsns_year,corp_code,기말의현금,기초의현금,영업활동현금흐름,재무활동현금흐름,투자활동현금흐름
69,2017,00148993,3207279.0,14510267548.0,15016421038.0,-30108151612.0,584670305.0
70,2018,00148993,3079959.0,3207279.0,9864553455.0,-9851680775.0,-13000000.0
71,2019,00148993,3739349.0,3079959.0,9825556800.0,-9824897410.0,0.0
72,2020,00148993,2790249.0,3739349.0,13228662535.0,-13197811635.0,-31800000.0
73,2022,00148993,3520949.0,3152249.0,8635963570.0,-13099643760.0,4464048890.0
74,2023,00148993,3541013.0,3520949.0,4899530069.0,5955689995.0,-10855200000.0
75,2024,00148993,2698009.0,3541013.0,7587438688.0,-7589653292.0,1371600.0
76,2016,00148993,14510267548.0,2836529.0,19730736095.0,-165050996167.0,159827691091.0
77,2015,00148993,2836529.0,4484749.0,12034373287.0,-15164191761.0,3128170254.0
78,2022,00117212,381777404797.0,49062002726.0,-101565273625.0,-251962593510.0,684933019706.0
79,2023,00117212,232028406521.0,381777404797.0,-35454403892.0,-33018956444.0,-82906089732.0
80,2024,00117212,148682000000.0,232028000000.0,-20022000000.0,6599000000.0,-80217000000.0
81,2016,00117212,155824168783.0,166196173370.0,167166167491.0,89936651707.0,-266940199547.0
82,2017,00117212,56559566801.0,155824168783.0,,-233457726677.0,-70053484400.0
83,2018,00117212,114171498355.0,56559566801.0,80359283947.0,-38030375899.0,-6131841804.0
84,2019,00117212,126344598354.0,114171498355.0,142453383886.0,241949672883.0,-311717669130.0
85,2020,00117212,69610060495.0,126344598354.0,-251731958249.0,-67436151144.0,266988172895.0
86,2021,00117212,49062002726.0,69610060495.0,-273229595930.0,-251063024242.0,496099187255.0
87,2015,00117212,166196173370.0,102345354637.0,210439628048.0,-79548426674.0,-67040771738.0
88,2016,00133335,3327748403.0,32406152658.0,2143019870.0,-3871752320.0,-27349671805.0
89,2017,00133335,1977338995.0,3327748403.0,12223793212.0,-5955110055.0,-7619092565.0
90,2018,00133335,68635439.0,1977338995.0,2025043502.0,-2979726320.0,-954020738.0
91,2019,00133335,1457994084.0,68635439.0,2292854942.0,-1105157365.0,201661068.0
92,2020,00133335,2080008402.0,1457994084.0,772828344.0,-389039452.0,238225426.0
93,2021,00133335,2175320647.0,2080008402.0,1020186611.0,-965015730.0,40141364.0
94,2022,00133335,730920561.0,2175320647.0,3525283674.0,-1829518786.0,-3140164974.0
95,2023,00133335,4840419191.0,730920561.0,2451595159.0,-236401983.0,1894305454.0
96,2024,00133335,4813174912.0,4840419191.0,901430541.0,11647095976.0,-12575770796.0
97,2015,00133335,32406152658.0,3066609536.0,1818062846.0,27134889610.0,386590666.0
98,2021,00109693,88657644246.0,866954367866.0,13416921335.0,-90276171845.0,-701437473110.0
99,2022,00109693,208253352990.0,88657644246.0,132181961845.0,-70446112960.0,57859859859.0
100,2023,00109693,267241592545.0,208253352990.0,112201269763.0,-73421449104.0,20208418896.0
101,2024,00109693,325114606518.0,267241592545.0,77987886422.0,-193424090747.0,173309218298.0
102,2020,00109693,866954367866.0,1886224068233.0,954014749415.0,-96067454491.0,-836675446312.0
103,2015,00109693,1840587484375.0,1236040860159.0,742099306225.0,424056757509.0,-563545441104.0
104,2016,00109693,1318183564540.0,1840587484375.0,262871074503.0,-151310916720.0,-641365624016.0
105,2017,00109693,1375287826182.0,1318183564540.0,301287215270.0,114869805373.0,-360071050919.0
106,2018,00109693,1385295535131.0,1375287826182.0,832776458214.0,-491307489719.0,-332960351484.0
107,2019,00109693,1886224068233.0,1385295535131.0,750807047043.0,-248707480580.0,3021167688.0
108,2017,00144818,18207379109.0,18441503353.0,1926734178.0,658682556.0,-2811675353.0
109,2018,00144818,25980151560.0,18207379109.0,4807934488.0,12212739915.0,-9284649138.0
110,2019,00144818,26226337206.0,25980151560.0,11103338301.0,-9074431721.0,-1846495355.0
111,2020,00144818,18543102738.0,26226337206.0,-6469198704.0,4560732679.0,-5551219063.0
112,2021,00144818,47057050561.0,18543102738.0,1834973937.0,31850976982.0,-5180586959.0
113,2022,00144818,22245414917.0,47057050561.0,-11910066909.0,-6045374419.0,-6287336837.0
114,2023,00144818,25785044563.0,22245414917.0,-3105451863.0,7228399031.0,-583329370.0
115,2024,00144818,37330142573.0,25785044563.0,20828899080.0,-8085531285.0,-1343683390.0
116,2015,00146083,66891995965.0,9588001995.0,56214409565.0,42335454000.0,-41264836675.0
117,2016,00146083,45488562077.0,66891995965.0,49390914862.0,-34512410030.0,-36291123832.0
118,2020,00146083,3101158533.0,4127910346.0,-108348415.0,-579690428.0,-338712970.0
119,2021,00146083,17849891761.0,3101158533.0,1020799140.0,-1420226452.0,15148160540.0
120,2022,00146083,11781910323.0,17849891761.0,-2653243137.0,28686216580.0,-32100954881.0
121,2023,00146083,7470988602.0,11781910323.0,-1807719289.0,-1232388712.0,-1270813720.0
