회사코드,회사명,종목코드,사업연도,금융상품관련순손익_당기,당기순이익_당기,당기순이익(손실)_당기,매출액_당기,법인세차감전 순이익_당기,순수수료손익_당기,순이자손익_당기,영업비용_당기,영업이익_당기,영업이익(손실)_당기,이자비용_당기,이자수익_당기,총포괄손익_당기,파생상품관련손익_당기,금융상품관련순손익_전기,당기순이익_전기,당기순이익(손실)_전기,매출액_전기,법인세차감전 순이익_전기,순수수료손익_전기,순이자손익_전기,영업비용_전기,영업이익_전기,영업이익(손실)_전기,이자비용_전기,이자수익_전기,총포괄손익_전기,파생상품관련손익_전기
100939,강남제비스코,860,2022,,-33816348207.0,-33816348207.0,332550640290.0,-43672811329.0,,,,-21248415034.0,,,,,,,-36054493806.0,-36054493806.0,296835997271.0,-47885639221.0,,,,-26554850549.0,,,,,
100939,강남제비스코,860,2023,,-433348625.0,-433348625.0,319251826894.0,-3906346834.0,,,,-9045170369.0,,,,-1598859762.0,,,-33816348207.0,-33816348207.0,332550640290.0,-43672811329.0,,,,-21248415034.0,,,,-29902723331.0,
101044,에이프로젠바이오로직스,3060,2015,,894664020.0,894664020.0,29825175945.0,894664020.0,,,,576805836.0,,,,,,,-3853239109.0,-3853239109.0,23797814005.0,-3853239109.0,,,,-4442757520.0,,,,,
101044,에이프로젠바이오로직스,3060,2016,,-5231764618.0,-5231764618.0,29443668157.0,-5231764618.0,,,,-156411751.0,,,,,,,894664020.0,894664020.0,29825175945.0,894664020.0,,,,576805836.0,,,,,
101044,에이프로젠바이오로직스,3060,2017,,-7562309841.0,-7562309841.0,30859683366.0,-7562309841.0,,,,-1055453788.0,,,,,,,-5231764618.0,-5231764618.0,29443668157.0,-5231764618.0,,,,-156411751.0,,,,,
101044,에이프로젠바이오로직스,3060,2018,,-10300680816.0,-10300680816.0,30961038489.0,-10300680816.0,,,,-929201641.0,,,,,,,-7562309841.0,-7562309841.0,30859683366.0,-7562309841.0,,,,-1055453788.0,,,,,
101044,에이프로젠바이오로직스,3060,2019,,-5832640802.0,-5832640802.0,33609132472.0,-5832640802.0,,,,-1381865099.0,,,,,,,-10300680816.0,-10300680816.0,30961038489.0,-10300680816.0,,,,-929201641.0,,,,,
101044,에이프로젠바이오로직스,3060,2020,,-943746985.0,-943746985.0,31831238395.0,-925139109.0,,,,-2003707221.0,,,,,,,-5832640802.0,-5832640802.0,33609132472.0,-5832640802.0,,,,-1381865099.0,,,,,
101044,에이프로젠바이오로직스,3060,2021,,5158026123.0,5158026123.0,34050417337.0,5400995451.0,,,,-2212743393.0,,,,,,,-943746985.0,-943746985.0,31831238395.0,-925139109.0,,,,-2003707221.0,,,,,
101044,에이프로젠바이오로직스,3060,2022,,10857826202.0,10857826202.0,44534150226.0,11602958499.0,,,,-3779009699.0,,,,,,,5158026123.0,5158026123.0,34050417337.0,5400995451.0,,,,-2212743393.0,,,,,
101044,에이프로젠바이오로직스,3060,2023,,-94742242540.0,-94742242540.0,62081998789.0,-94864378001.0,,,,-56932168794.0,,,,-95307377188.0,,,10857826202.0,10857826202.0,44534150226.0,11602958499.0,,,,-3779009699.0,,,,12482941643.0,
101220,KG케미칼,1390,2015,,7592100637.0,7592100637.0,167351997377.0,9300933239.0,,,,9675951553.0,,,,,,,5472670748.0,5472670748.0,168409372730.0,7618706781.0,,,,6928555886.0,,,,,
101220,KG케미칼,1390,2016,,10876387565.0,10876387565.0,164826987847.0,13648214319.0,,,,5015477035.0,,,,,,,7592100637.0,7592100637.0,167351997377.0,9300933239.0,,,,9675951553.0,,,,,
101220,KG케미칼,1390,2017,,5789730225.0,5789730225.0,167310908108.0,6761565708.0,,,,3471785434.0,,,,,,,10876387565.0,10876387565.0,164826987847.0,13648214319.0,,,,5015477035.0,,,,,
101220,KG케미칼,1390,2018,,-2761206661.0,-2761206661.0,167223238715.0,-1558821130.0,,,,428558491.0,,,,,,,5789730225.0,5789730225.0,167310908108.0,6761565708.0,,,,3471785434.0,,,,,
101220,KG케미칼,1390,2019,,-9863864609.0,-9863864609.0,153279828263.0,-7176070686.0,,,,-61264102.0,,,,,,,-2761206661.0,-2761206661.0,167223238715.0,-1558821130.0,,,,428558491.0,,,,,
101220,KG케미칼,1390,2020,,-10574447823.0,-10574447823.0,143437560447.0,-7978419111.0,,,,7851562110.0,,,,,,,-9863864609.0,-9863864609.0,153279828263.0,-7176070686.0,,,,-61264102.0,,,,,
101220,KG케미칼,1390,2021,,14197463402.0,14197463402.0,160139616062.0,17425055356.0,,,,10778607283.0,,,,,,,-10574447823.0,-10574447823.0,143437560447.0,-7978419111.0,,,,7851562110.0,,,,,
101220,KG케미칼,1390,2022,,19161675351.0,19161675351.0,196274088651.0,23508820122.0,,,,19054865427.0,,,,,,,14197463402.0,14197463402.0,160139616062.0,17425055356.0,,,,10778607283.0,,,,,
101220,KG케미칼,1390,2023,,26569060784.0,26569060784.0,211470163579.0,24671158111.0,,,,13437947271.0,,,,25646253393.0,,,19161675351.0,19161675351.0,196274088651.0,23508820122.0,,,,19054865427.0,,,,19183260073.0,
101257,경남기업,800,2015,,-734931755866.0,-734931755866.0,562411304619.0,-733727242919.0,,,,-333721411236.0,,,,,,,-354919148562.0,-354919148562.0,910577441527.0,-270701108227.0,,,,-261554403867.0,,,,,
101257,경남기업,800,2018,,42210320377.0,42210320377.0,240457952411.0,22946745627.0,,,,6284970490.0,,,,,,,-223620570381.0,-223620570381.0,247477067365.0,-202312815051.0,,,,-59592132385.0,,,,,
101257,경남기업,800,2019,,18525580136.0,18525580136.0,276319218241.0,18525580136.0,,,,15466696974.0,,,,,,,42210320377.0,42210320377.0,240457952411.0,22946745627.0,,,,6284970490.0,,,,,
101257,경남기업,800,2020,,20339251107.0,20339251107.0,304430019699.0,20393106457.0,,,,13197913261.0,,,,,,,18525580136.0,18525580136.0,276319218241.0,18525580136.0,,,,15466696974.0,,,,,
101257,경남기업,800,2021,,34303916720.0,34303916720.0,415652661076.0,34310529734.0,,,,22101135787.0,,,,,,,20339251107.0,20339251107.0,304430019699.0,20393106457.0,,,,13197913261.0,,,,,
101257,경남기업,800,2022,,43646051975.0,43646051975.0,355462813293.0,6582664670.0,,,,12784181183.0,,,,,,,34303916720.0,34303916720.0,415652661076.0,35948522073.0,,,,22603029751.0,,,,,
101257,경남기업,800,2023,,13177414269.0,13177414269.0,487981283496.0,13177414269.0,,,,19344100193.0,,,,9210960793.0,,,43646051975.0,43646051975.0,355462813293.0,6582664670.0,,,,12784181183.0,,,,42602747173.0,
101336,경남에너지,8020,2015,,22997150739.0,22997150739.0,723921972531.0,30530863481.0,,,,20206811248.0,,,,,,,23247763904.0,23247763904.0,888760204051.0,26745241287.0,,,,17360673513.0,,,,,
101433,경농,2100,2015,,6488879685.0,6488879685.0,137609255779.0,8536761228.0,,,,9122621226.0,,,,,,,9271740568.0,9271740568.0,134806677341.0,12292079710.0,,,,14039409075.0,,,,,
101433,경농,2100,2016,,5770890598.0,5770890598.0,143209666172.0,7205069909.0,,,,7226128042.0,,,,,,,6488879685.0,6488879685.0,137609255779.0,8536761228.0,,,,9122621226.0,,,,,
101433,경농,2100,2017,,11539078732.0,11539078732.0,143175105436.0,14144804276.0,,,,9079453081.0,,,,,,,5770890598.0,5770890598.0,143209666172.0,7205069909.0,,,,7226128042.0,,,,,
101433,경농,2100,2018,,9613575137.0,9613575137.0,146216657895.0,15262949072.0,,,,15180271811.0,,,,,,,11539078732.0,11539078732.0,143175105436.0,14144804276.0,,,,9079453081.0,,,,,
101433,경농,2100,2019,,7061856687.0,7061856687.0,151342037151.0,10238676554.0,,,,11750267825.0,,,,,,,9613575137.0,9613575137.0,146216657895.0,15262949072.0,,,,15180271811.0,,,,,
101433,경농,2100,2020,,10459503607.0,10459503607.0,165655311612.0,15243293763.0,,,,11856808801.0,,,,,,,7061856687.0,7061856687.0,151342037151.0,10238676554.0,,,,11750267825.0,,,,,
