,회사코드,회사명,종목코드,사업연도,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
29,101044,에이프로젠바이오로직스,3060,2019,,,,,37499086489.0,3656633241.0,126620076361.0,,,33842453248.0,157807887088.0,-40835558690.0,120829164000.0,246928876960.0,284427963449.0,,,
30,101044,에이프로젠바이오로직스,3060,2020,,,,,9303886132.0,3914339054.0,256544555504.0,,,5389547078.0,231586767213.0,-41659259450.0,199287883500.0,478827436585.0,488131322717.0,,,
31,101044,에이프로젠바이오로직스,3060,2021,,,,,10320034917.0,4217451551.0,259656923720.0,,,6102583366.0,235842240790.0,-35843589588.0,199287883500.0,485179129593.0,495499164510.0,,,
32,101044,에이프로젠바이오로직스,3060,2022,,,,,176714853916.0,27897243651.0,461380631074.0,,,148817610265.0,127809066388.0,-24707206334.0,292877344000.0,412474843546.0,589189697462.0,,,
33,101044,에이프로젠바이오로직스,3060,2023,,,,,209251222654.0,60126475261.0,496276548820.0,,,149124747393.0,80318816199.0,-120014583522.0,332877344500.0,367344142365.0,576595365019.0,,,
34,101220,KG케미칼,1390,2015,,,,,107981747146.0,8970545632.0,183508397802.0,,,99011201514.0,87924986332.0,96192009047.0,,163451636988.0,271433384134.0,,,
35,101220,KG케미칼,1390,2016,,,,,105451345789.0,7662850743.0,187909060466.0,,,97788495046.0,89220815089.0,103123385900.0,,171678529766.0,277129875555.0,,,
36,101220,KG케미칼,1390,2017,,,,,119795672569.0,9087534736.0,226633768676.0,,,110708137833.0,83344061903.0,106342753131.0,64175290000.0,190182158010.0,309977830579.0,,,
37,101220,KG케미칼,1390,2018,,,,,102347691447.0,9178349294.0,221833135405.0,,,93169342153.0,64149641523.0,98935435441.0,64585875000.0,183635085481.0,285982776928.0,,,
38,101220,KG케미칼,1390,2019,,,,,134043326413.0,15443714075.0,252516469593.0,,,118599612338.0,57702368500.0,84295126231.0,67374405000.0,176175511680.0,310218838093.0,,,
39,101220,KG케미칼,1390,2020,,,,,125193039957.0,7822001999.0,232095606564.0,,,117371037958.0,56901445262.0,70017046410.0,67374405000.0,163804011869.0,288997051826.0,,,
