,회사코드,회사명,종목코드,사업연도,금융상품관련순손익,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
41,101220,KG케미칼,1390,2022,,19161675351.0,19161675351.0,196274088651.0,23508820122.0,,,,19054865427.0,,,,,
42,101220,KG케미칼,1390,2023,,26569060784.0,26569060784.0,211470163579.0,24671158111.0,,,,13437947271.0,,,,25646253393.0,
43,101257,경남기업,800,2015,,-734931755866.0,-734931755866.0,562411304619.0,-733727242919.0,,,,-333721411236.0,,,,,
44,101257,경남기업,800,2018,,42210320377.0,42210320377.0,240457952411.0,22946745627.0,,,,6284970490.0,,,,,
45,101257,경남기업,800,2019,,18525580136.0,18525580136.0,276319218241.0,18525580136.0,,,,15466696974.0,,,,,
46,101257,경남기업,800,2020,,20339251107.0,20339251107.0,304430019699.0,20393106457.0,,,,13197913261.0,,,,,
47,101257,경남기업,800,2021,,34303916720.0,34303916720.0,415652661076.0,34310529734.0,,,,22101135787.0,,,,,
48,101257,경남기업,800,2022,,43646051975.0,43646051975.0,355462813293.0,6582664670.0,,,,12784181183.0,,,,,
49,101257,경남기업,800,2023,,13177414269.0,13177414269.0,487981283496.0,13177414269.0,,,,19344100193.0,,,,9210960793.0,
50,101336,경남에너지,8020,2015,,22997150739.0,22997150739.0,723921972531.0,30530863481.0,,,,20206811248.0,,,,,
51,101433,경농,2100,2015,,6488879685.0,6488879685.0,137609255779.0,8536761228.0,,,,9122621226.0,,,,,
52,101433,경농,2100,2016,,5770890598.0,5770890598.0,143209666172.0,7205069909.0,,,,7226128042.0,,,,,
53,101433,경농,2100,2017,,11539078732.0,11539078732.0,143175105436.0,14144804276.0,,,,9079453081.0,,,,,
54,101433,경농,2100,2018,,9613575137.0,9613575137.0,146216657895.0,15262949072.0,,,,15180271811.0,,,,,
55,101433,경농,2100,2019,,7061856687.0,7061856687.0,151342037151.0,10238676554.0,,,,11750267825.0,,,,,
56,101433,경농,2100,2020,,10459503607.0,10459503607.0,165655311612.0,15243293763.0,,,,11856808801.0,,,,,
57,101433,경농,2100,2021,,24475007708.0,24475007708.0,174767544669.0,28331920303.0,,,,14712952809.0,,,,,
58,101433,경농,2100,2022,,18699262735.0,18699262735.0,202589424878.0,25169766934.0,,,,26820420422.0,,,,,
59,101433,경농,2100,2023,,22638661561.0,22638661561.0,223405301789.0,28893685903.0,,,,28790186024.0,,,,24593124064.0,
60,101488,경동나비엔,9450,2015,,19320741827.0,19320741827.0,448302084073.0,24598756289.0,,,,20800512663.0,,,,,
61,101488,경동나비엔,9450,2016,,28636193744.0,28636193744.0,506082200758.0,37230569332.0,,,,36574175513.0,,,,,
62,101488,경동나비엔,9450,2017,,16291264166.0,16291264166.0,569819524069.0,21171068361.0,,,,32019763728.0,,,,,
63,101488,경동나비엔,9450,2018,,22818063735.0,22818063735.0,618058456004.0,28806050824.0,,,,29337537838.0,,,,,
64,101488,경동나비엔,9450,2019,,20474156668.0,20474156668.0,655419303306.0,36572742116.0,,,,39202885920.0,,,,,
65,101488,경동나비엔,9450,2020,,18888347683.0,18888347683.0,746324940227.0,27349353016.0,,,,45462923043.0,,,,,
66,101488,경동나비엔,9450,2021,,62278873056.0,62278873056.0,951116272454.0,80240634098.0,,,,46249998506.0,,,,,
67,101488,경동나비엔,9450,2022,,43696302615.0,43696302615.0,979557977739.0,61301044684.0,,,,58702662071.0,,,,,
68,101488,경동나비엔,9450,2023,,46331095297.0,46331095297.0,995055167584.0,59959204409.0,,,,56299546067.0,,,,42060314478.0,
69,101549,경동제약,11040,2015,,13717807567.0,13717807567.0,149325680961.0,21292072841.0,,,,25722758181.0,,,,,
70,101549,경동제약,11040,2016,,16851776233.0,16851776233.0,157010995434.0,24882659933.0,,,,23506384916.0,,,,,
71,101549,경동제약,11040,2017,,20164400105.0,20164400105.0,175565924605.0,30165797251.0,,,,31236533630.0,,,,,
72,101549,경동제약,11040,2018,,3486970616.0,3486970616.0,175237279251.0,18392436605.0,,,,24912750050.0,,,,,
73,101549,경동제약,11040,2019,,19940390099.0,19940390099.0,175990627373.0,30749328936.0,,,,26725148342.0,,,,,
74,101549,경동제약,11040,2020,,13618439349.0,13618439349.0,171997679040.0,20493479053.0,,,,19097202567.0,,,,,
75,101549,경동제약,11040,2021,,12448658649.0,12448658649.0,173021416571.0,18229968814.0,,,,15522058953.0,,,,,
76,101549,경동제약,11040,2022,,3883522792.0,3883522792.0,179317305843.0,7293488915.0,,,,9121970668.0,,,,,
77,101549,경동제약,11040,2023,,-12951968067.0,-12951968067.0,159643451076.0,-8622378925.0,,,,-24343732320.0,,,,-10363965751.0,
