corp_name,bsns_year,부채총계,비유동자산,유동자산,자본총계,자산총계
BGF에코머티리얼즈,2020,31745032854.0,35716033977.0,114701718083.0,118672719206.0,150417752060.0
BGF에코머티리얼즈,2021,150630439138.0,47288038908.0,259475465427.0,156133065197.0,306763504335.0
BGF에코머티리얼즈,2022,150198660555.0,98963459281.0,253180273368.0,201945072094.0,352143732649.0
BYC,2015,313347276773.0,599615571243.0,91849037604.0,378117332074.0,691464608847.0
BYC,2016,339167414756.0,614371499956.0,118647017785.0,393851102985.0,733018517741.0
BYC,2017,346484953966.0,633137254608.0,112685945741.0,399338246383.0,745823200349.0
BYC,2018,331027820118.0,648620487038.0,89810780063.0,407403446983.0,738431267101.0
BYC,2019,259555399205.0,575560967356.0,118321885500.0,434327453651.0,693882852856.0
BYC,2020,226466838553.0,562778549573.0,116356314223.0,452668025243.0,679134863796.0
BYC,2021,202622247604.0,551095528586.0,133338983564.0,481812264546.0,684434512150.0
BYC,2022,153134740019.0,548689884106.0,120182142295.0,515737286382.0,668872026401.0
CBI,2015,17270199832.0,27028146962.0,8572717154.0,18330664284.0,35600864116.0
CBI,2016,16374691211.0,26025270851.0,10648496333.0,20299075973.0,36673767184.0
CBI,2017,13695176349.0,24461760284.0,9639799149.0,20406383084.0,34101559433.0
CBI,2018,14538372564.0,24056759054.0,11861512862.0,21379899352.0,35918271916.0
CBI,2019,18902615781.0,30898997854.0,9984529966.0,21980912039.0,40883527820.0
CBI,2020,24466128021.0,30339610113.0,13979478973.0,19852961065.0,44319089086.0
CBI,2021,46595763171.0,44308003626.0,32454420460.0,30166660915.0,76762424086.0
CBI,2022,31734808266.0,21550932588.0,52817397602.0,42633521924.0,74368330190.0
CG인바이츠,2015,53645552945.0,89456163366.0,37828386318.0,73638996739.0,127284549684.0
CG인바이츠,2016,45401565109.0,88972761574.0,39693677900.0,83264874365.0,128666439474.0
CG인바이츠,2017,27878221036.0,84972134274.0,34493003311.0,91586916549.0,119465137585.0
CG인바이츠,2018,72452650463.0,90161875094.0,166757824083.0,184467048714.0,256919699177.0
CG인바이츠,2019,153972522569.0,140978965408.0,238210421966.0,225216864985.0,379189387374.0
CG인바이츠,2020,96545017578.0,136155438615.0,180804638706.0,220415059743.0,316960077321.0
CG인바이츠,2021,118300626728.0,187961356512.0,144965453463.0,214626183247.0,332926809975.0
CG인바이츠,2022,129190035455.0,223759146158.0,98853917480.0,193423028183.0,322613063638.0
CJ,2015,13698687478000.0,16611938422000.0,6943581894000.0,9863456028000.0,23562143506000.0
CJ,2016,15755138247000.0,19147136836000.0,7855955000000.0,11254449703000.0,27009587950000.0
CJ,2017,17333214255000.0,20992130064000.0,8160114546000.0,11992168809000.0,29325383064000.0
CJ,2018,19207738403000.0,22860194353000.0,8867107695000.0,12521810245000.0,31729548648000.0
CJ,2019,25766279658000.0,29228666310000.0,10638224744000.0,14615084935000.0,40381364593000.0
CJ,2020,24628738994000.0,28906855585000.0,11077496820000.0,15396226075000.0,40024965069000.0
CJ,2021,25492465688000.0,29903605514000.0,12020596817000.0,16463530116000.0,41955995804000.0
CJ,2022,30506774819000.0,33066755593000.0,15143819806000.0,17733633488000.0,48240408307000.0
CJ CGV,2015,972407246956.0,1062232585141.0,355344841616.0,445170179801.0,1417577426757.0
CJ CGV,2016,1621292084258.0,2027584903116.0,514188110394.0,920480929252.0,2541773013510.0
CJ CGV,2017,1682438284658.0,2002492333564.0,457608512337.0,777662561243.0,2460100845901.0
CJ CGV,2018,1683905312410.0,1737153970490.0,497032022016.0,550280680096.0,2234185992506.0
CJ CGV,2019,3922936967719.0,3847034187955.0,677012677226.0,601109897462.0,4524046865181.0
CJ CGV,2020,4066971784892.0,3405434969678.0,949421926188.0,287885110974.0,4354856895866.0
CJ CGV,2021,3484207008067.0,3164846744902.0,620645630707.0,301285367542.0,3785492375609.0
CJ CGV,2022,3208379045793.0,2918786482394.0,682681904094.0,393089340695.0,3601468386488.0
CJ ENM,2015,1638102960054.0,2229698002209.0,758534402154.0,1350129444309.0,2988232404363.0
CJ ENM,2016,1390704879495.0,2064565569206.0,689027934725.0,1362888624436.0,2753593503931.0
CJ ENM,2017,1317714354251.0,2137854757477.0,661780012759.0,1484104100188.0,2801818454439.0
CJ ENM,2018,3329299954479.0,4948363305154.0,1806584959387.0,3425648310062.0,6754948264541.0
CJ ENM,2019,2283014093463.0,3758793981555.0,1670976920922.0,3151893494398.0,5434907587861.0
CJ ENM,2020,2494738813674.0,4527543484306.0,1750295061988.0,3785178643254.0,6279917456928.0
CJ ENM,2021,3737319022978.0,5280193412240.0,2658344877289.0,4203305795543.0,7940624818521.0
CJ ENM,2022,5987918870682.0,7224207843082.0,3108038802501.0,4344327774901.0,10332246645583.0
CJ대한통운,2015,2128783996099.0,3261191553180.0,1239297510542.0,2371705067623.0,4500489063722.0
