,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
15956,넥스틸(주),092790 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
15957,넥스틸(주),092790 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
15958,넥스틸(주),092790 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
15959,넥스틸(주),092790 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
15995,농업회사법인우듬지팜(주),403490 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
15996,농업회사법인우듬지팜(주),403490 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
15997,농업회사법인우듬지팜(주),403490 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
16069,대명에너지(주),389260 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
16070,대명에너지(주),389260 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
16071,대명에너지(주),389260 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
16072,대명에너지(주),389260 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
16073,대명에너지(주),389260 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
16074,대명에너지(주),389260 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
16078,대모엔지니어링(주),317850 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
16079,대모엔지니어링(주),317850 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
16080,대모엔지니어링(주),317850 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
16081,대모엔지니어링(주),317850 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
16484,덕우전자(주),263600 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
16808,디아이티(주),110990 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
16809,디아이티(주),110990 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
16907,디와이씨(주),310870 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
16908,디와이씨(주),310870 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
16909,디와이씨(주),310870 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
16913,디와이엘엔제이(주),207230 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2016/07/25
16914,디와이엘엔제이(주),207230 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2016/07/25
17023,로스웰인터내셔널(유),900260 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
17024,로스웰인터내셔널(유),900260 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17025,로스웰인터내셔널(유),900260 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17026,로스웰인터내셔널(유),900260 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
17027,로스웰인터내셔널(유),900260 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
17028,로스웰인터내셔널(유),900260 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
17029,로스웰인터내셔널(유),900260 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
17030,로스웰인터내셔널(유),900260 ,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,
17031,로스웰인터내셔널(유),900260 ,2023/12,,,,,,,,,,,,,,,,,,,,,,,,,
17154,루미르(주),474170 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
17155,루미르(주),474170 ,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,
17261,명진홀딩스(주),267060 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/18
17262,명진홀딩스(주),267060 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2023/04/18
