,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
14241,(주)하림홀딩스,024660 ,2015/12,231068791.0,170477012.0,60591779.0,223448566.0,44578595.0,153419962.0,7620225.0,0.0,7620225.0,51022448.0,2601277.0,19610322.0,-10000000.0,38810849.0,51022448.0,5007842.0,5007842.0,2733756.0,2274086.0,0.0,1683461.0,0.0,1991206.0,2389472.0,2018/07/16
14242,(주)하림홀딩스,024660 ,2016/12,230757282.0,205262838.0,25494444.0,223397705.0,44578595.0,153080985.0,7359576.0,18850.0,7340727.0,18648615.0,989173.0,-33363006.0,0.0,51022448.0,18648615.0,3785184.0,3785184.0,3219412.0,565772.0,0.0,-340750.0,0.0,2016880.0,2581966.0,2018/07/16
14243,(주)하림홀딩스,024660 ,2017/12,232572243.0,199354131.0,33218112.0,225192903.0,44578595.0,155466889.0,7379339.0,112631.0,7266708.0,12610973.0,2736979.0,-4478091.0,-4296531.0,18648615.0,12610973.0,6850706.0,6850706.0,4530157.0,2320550.0,0.0,6658836.0,0.0,2043268.0,3044103.0,2018/07/16
14348,(주)한국비엔씨,226610 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/03
14349,(주)한국비엔씨,226610 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/03
14350,(주)한국비엔씨,226610 ,2016/12,20457012.0,7216355.0,13240657.0,7915569.0,2880001.0,1060866.0,12541444.0,9788774.0,2752670.0,5251880.0,1231549.0,-4355999.0,2051750.0,6319398.0,5251880.0,12444907.0,7767921.0,6463547.0,1304374.0,4676986.0,512332.0,2714577.0,6514814.0,5183718.0,2019/12/03
14353,(주)한국비엔씨,226610 ,2017/12,24123440.0,11031096.0,13092344.0,10048841.0,2927776.0,2914551.0,14074599.0,3578581.0,10496018.0,6900416.0,5735936.0,-4783012.0,872265.0,5251880.0,6900416.0,15016851.0,9319000.0,6270091.0,3048909.0,5697851.0,1853685.0,2074116.0,5919926.0,3319902.0,2019/12/03
14355,(주)한국비엔씨,226610 ,2018/12,30843928.0,11765299.0,19078629.0,11901553.0,2971213.0,5872277.0,18942375.0,5059888.0,13882486.0,10293944.0,1928637.0,-256008.0,1729217.0,6900416.0,10293944.0,16680986.0,9845062.0,5515049.0,4330013.0,6835924.0,2550980.0,2587457.0,7853720.0,5663821.0,2019/12/03
14371,(주)한국아트라스비엑스,023890 ,2014/12,474547307.0,116831433.0,357715874.0,391450583.0,9150000.0,354439648.0,83096724.0,3370106.0,79726618.0,33942093.0,39886894.0,-81090154.0,-17998619.0,93187223.0,33942093.0,465161595.0,89486399.0,34213274.0,55273125.0,375675196.0,50746278.0,47202949.0,92382823.0,95347828.0,2021/04/19
14372,(주)한국아트라스비엑스,023890 ,2015/12,542583989.0,106032995.0,436550994.0,442229887.0,9150000.0,405235703.0,100354102.0,3474181.0,96879921.0,97984512.0,66797339.0,-9218682.0,6468913.0,33942093.0,97984512.0,542112933.0,104939398.0,39243382.0,65696016.0,437173535.0,58804005.0,48817576.0,97704286.0,100240088.0,2021/04/19
14373,(주)한국아트라스비엑스,023890 ,2016/12,333714140.0,111971015.0,221743125.0,219952488.0,9150000.0,450250805.0,113761652.0,3283384.0,110478268.0,51558296.0,58854462.0,173115533.0,-278699625.0,97984512.0,51558296.0,554361989.0,104889706.0,40566590.0,64323115.0,449472283.0,50687988.0,44489406.0,118995233.0,119587743.0,2021/04/19
